target,dataset,frequency,window,algorithm,accuracy,precision.0,precision.1,precision,recall.0,recall.1,recall,f1.0,f1.1,f1,hyperparameters
arousal,AF,10,1,K-NN,0.518,0.5173,0.5187,0.518,0.5382,0.4977,0.518,0.5276,0.508,0.5178,9
arousal,All,10,1,K-NN,0.5732,0.5747,0.5717,0.5732,0.5631,0.5833,0.5732,0.5688,0.5775,0.5732,9
arousal,C,10,1,K-NN,0.5192,0.5193,0.519,0.5192,0.515,0.5233,0.5192,0.5172,0.5212,0.5192,7
arousal,CP,10,1,K-NN,0.5308,0.5304,0.5312,0.5308,0.537,0.5246,0.5308,0.5337,0.5279,0.5308,9
arousal,F,10,1,K-NN,0.5305,0.5311,0.5298,0.5305,0.5199,0.541,0.5305,0.5255,0.5354,0.5304,9
arousal,F+FC,10,1,K-NN,0.5488,0.5499,0.5477,0.5488,0.5371,0.5604,0.5488,0.5434,0.554,0.5487,9
arousal,FC,10,1,K-NN,0.529,0.5302,0.5278,0.529,0.5078,0.5501,0.529,0.5188,0.5387,0.5288,9
arousal,FP,10,1,K-NN,0.4983,0.4982,0.4984,0.4983,0.4773,0.5193,0.4983,0.4875,0.5086,0.498,7
arousal,FP+AF,10,1,K-NN,0.5218,0.5219,0.5217,0.5218,0.5197,0.5239,0.5218,0.5208,0.5228,0.5218,9
arousal,O,10,1,K-NN,0.5105,0.5104,0.5107,0.5106,0.5194,0.5016,0.5105,0.5149,0.5061,0.5105,7
arousal,O+PO,10,1,K-NN,0.5277,0.527,0.5285,0.5277,0.5411,0.5143,0.5277,0.534,0.5213,0.5276,9
arousal,P,10,1,K-NN,0.5259,0.5267,0.5252,0.5259,0.5107,0.5411,0.5259,0.5186,0.533,0.5258,9
arousal,P+CP,10,1,K-NN,0.5367,0.5375,0.536,0.5368,0.5266,0.5468,0.5367,0.532,0.5414,0.5367,9
arousal,PO,10,1,K-NN,0.5143,0.5142,0.5144,0.5143,0.5177,0.511,0.5144,0.5159,0.5127,0.5143,9
arousal,T,10,1,K-NN,0.5009,0.5009,0.501,0.501,0.5093,0.4926,0.501,0.5051,0.4967,0.5009,5
arousal,AF,22,1,K-NN,0.5052,0.506,0.5047,0.5054,0.4431,0.5674,0.5052,0.4724,0.5342,0.5033,9
arousal,All,22,1,K-NN,0.5786,0.5798,0.5773,0.5786,0.5707,0.5864,0.5786,0.5752,0.5819,0.5786,9
arousal,C,22,1,K-NN,0.5187,0.5183,0.5192,0.5188,0.5319,0.5056,0.5188,0.525,0.5123,0.5187,9
arousal,CP,22,1,K-NN,0.5368,0.5377,0.5359,0.5368,0.5251,0.5485,0.5368,0.5313,0.5421,0.5367,9
arousal,F,22,1,K-NN,0.5374,0.5372,0.5375,0.5374,0.5389,0.5358,0.5374,0.5381,0.5367,0.5374,9
arousal,F+FC,22,1,K-NN,0.5568,0.5562,0.5573,0.5568,0.5616,0.552,0.5568,0.5589,0.5547,0.5568,9
arousal,FC,22,1,K-NN,0.5334,0.5345,0.5323,0.5334,0.5174,0.5493,0.5334,0.5258,0.5407,0.5332,9
arousal,FP,22,1,K-NN,0.5064,0.507,0.5059,0.5065,0.4626,0.5501,0.5064,0.4838,0.5271,0.5054,9
arousal,FP+AF,22,1,K-NN,0.525,0.5269,0.5233,0.5251,0.4895,0.5604,0.525,0.5075,0.5413,0.5244,7
arousal,O,22,1,K-NN,0.5227,0.5255,0.5205,0.523,0.4686,0.5769,0.5228,0.4954,0.5472,0.5213,9
arousal,O+PO,22,1,K-NN,0.5281,0.5292,0.5272,0.5282,0.5107,0.5456,0.5282,0.5198,0.5362,0.528,9
arousal,P,22,1,K-NN,0.5381,0.5368,0.5395,0.5382,0.5558,0.5204,0.5381,0.5461,0.5298,0.538,7
arousal,P+CP,22,1,K-NN,0.5594,0.56,0.5589,0.5594,0.5546,0.5642,0.5594,0.5573,0.5615,0.5594,9
arousal,PO,22,1,K-NN,0.5077,0.509,0.5067,0.5078,0.4344,0.581,0.5077,0.4687,0.5413,0.505,5
arousal,T,22,1,K-NN,0.5052,0.5052,0.5052,0.5052,0.5071,0.5033,0.5052,0.5061,0.5042,0.5052,9
arousal,AF,42,1,K-NN,0.5111,0.5119,0.5104,0.5112,0.4779,0.5443,0.5111,0.4943,0.5268,0.5106,7
arousal,All,42,1,K-NN,0.6012,0.6047,0.598,0.6014,0.5847,0.6177,0.6012,0.5945,0.6077,0.6011,9
arousal,C,42,1,K-NN,0.5357,0.537,0.5345,0.5357,0.5178,0.5536,0.5357,0.5272,0.5439,0.5356,9
arousal,CP,42,1,K-NN,0.5455,0.5451,0.5459,0.5455,0.55,0.541,0.5455,0.5475,0.5434,0.5454,9
arousal,F,42,1,K-NN,0.5439,0.5446,0.5432,0.5439,0.5358,0.5519,0.5438,0.5402,0.5475,0.5438,9
arousal,F+FC,42,1,K-NN,0.5626,0.5646,0.5607,0.5626,0.5471,0.5781,0.5626,0.5557,0.5693,0.5625,9
arousal,FC,42,1,K-NN,0.5422,0.5421,0.5422,0.5422,0.543,0.5413,0.5422,0.5426,0.5417,0.5421,9
arousal,FP,42,1,K-NN,0.509,0.5096,0.5085,0.509,0.478,0.54,0.509,0.4933,0.5238,0.5086,9
arousal,FP+AF,42,1,K-NN,0.5362,0.5395,0.5334,0.5364,0.4943,0.5781,0.5362,0.5159,0.5549,0.5354,9
arousal,O,42,1,K-NN,0.5243,0.5237,0.525,0.5244,0.5377,0.5109,0.5243,0.5306,0.5178,0.5242,7
arousal,O+PO,42,1,K-NN,0.5372,0.5358,0.5387,0.5372,0.5564,0.5179,0.5372,0.5459,0.5281,0.537,9
arousal,P,42,1,K-NN,0.5409,0.5415,0.5403,0.5409,0.5339,0.5478,0.5409,0.5377,0.5441,0.5409,9
arousal,P+CP,42,1,K-NN,0.562,0.5626,0.5614,0.562,0.5572,0.5668,0.562,0.5599,0.5641,0.562,9
arousal,PO,42,1,K-NN,0.52,0.5182,0.5222,0.5202,0.5697,0.4703,0.52,0.5427,0.4949,0.5188,9
arousal,T,42,1,K-NN,0.5048,0.5049,0.5047,0.5048,0.4967,0.5129,0.5048,0.5008,0.5088,0.5048,9
arousal,AF,10,4,K-NN,0.5278,0.5273,0.5283,0.5278,0.5365,0.519,0.5277,0.5319,0.5236,0.5277,9
arousal,All,10,4,K-NN,0.7113,0.7079,0.7147,0.7113,0.7194,0.7032,0.7113,0.7136,0.7089,0.7112,1
arousal,C,10,4,K-NN,0.5325,0.5334,0.5316,0.5325,0.5188,0.5462,0.5325,0.526,0.5388,0.5324,9
arousal,CP,10,4,K-NN,0.5573,0.5581,0.5564,0.5572,0.5496,0.5649,0.5572,0.5538,0.5606,0.5572,9
arousal,F,10,4,K-NN,0.5576,0.5569,0.5584,0.5576,0.5639,0.5514,0.5576,0.5604,0.5549,0.5576,9
arousal,F+FC,10,4,K-NN,0.5926,0.5896,0.5958,0.5927,0.6095,0.5756,0.5926,0.5994,0.5856,0.5925,9
arousal,FC,10,4,K-NN,0.558,0.5577,0.5583,0.558,0.5605,0.5556,0.558,0.5591,0.5569,0.558,9
arousal,FP,10,4,K-NN,0.5168,0.5174,0.5163,0.5168,0.5013,0.5323,0.5168,0.5092,0.5242,0.5167,5
arousal,FP+AF,10,4,K-NN,0.5403,0.5392,0.5415,0.5404,0.5545,0.5261,0.5403,0.5467,0.5337,0.5402,7
arousal,O,10,4,K-NN,0.515,0.515,0.515,0.515,0.5141,0.5159,0.515,0.5146,0.5154,0.515,9
arousal,O+PO,10,4,K-NN,0.5434,0.5448,0.5421,0.5434,0.5276,0.5592,0.5434,0.5361,0.5505,0.5433,9
arousal,P,10,4,K-NN,0.5543,0.5536,0.555,0.5543,0.5608,0.5477,0.5542,0.5571,0.5513,0.5542,9
arousal,P+CP,10,4,K-NN,0.5832,0.5836,0.5829,0.5833,0.5811,0.5853,0.5832,0.5823,0.5841,0.5832,9
arousal,PO,10,4,K-NN,0.5205,0.5202,0.5208,0.5205,0.5279,0.513,0.5205,0.524,0.5169,0.5205,5
arousal,T,10,4,K-NN,0.5218,0.522,0.5216,0.5218,0.5177,0.5258,0.5218,0.5198,0.5237,0.5218,7
